id,name,district,intro,hint1,hint2,hint3,fact1,fact2,fact3
226,Dandeli Wildlife Sanctuary,Uttar_Kannada,"Somewhere in Karnataka, this wildlife sanctuary holds a story worth uncovering.",Second largest wildlife sanctuary in Karnataka.,"It's a well-known wildlife sanctuary, popular for jungle safari.","Visitors flock here for jungle safari, bird watching, wildlife photography -- a well-loved spot in Uttar_Kannada district.",Category: Wildlife Sanctuary,Known for: Second largest wildlife sanctuary in Karnataka,"Popular activities: Jungle safari, Bird watching, Wildlife photography"
227,Kali River Rafting (Dandeli),Uttar_Kannada,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Famous white-water rafting destination.,"It's a well-known attraction, popular for river rafting.","Visitors flock here for river rafting, kayaking, natural jacuzzi bathing -- a well-loved spot in Uttar_Kannada district.",Category: Attraction,Known for: Famous white-water rafting destination,"Popular activities: River rafting, Kayaking, Natural jacuzzi bathing"
228,Supa Dam,Uttar_Kannada,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Massive concrete gravity dam on the Kali river.,"It's a well-known attraction, popular for viewing the reservoir.","Visitors flock here for viewing the reservoir, photography, educational tour -- a well-loved spot in Uttar_Kannada district.",Category: Attraction,Known for: Massive concrete gravity dam on the Kali river,"Popular activities: Viewing the reservoir, Photography, Educational tour"
229,Syntheri Rocks,Uttar_Kannada,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Monolithic limestone rock formation in the forest.,"It's a well-known attraction, popular for trekking.","Visitors flock here for trekking, geological study, photography -- a well-loved spot in Uttar_Kannada district.",Category: Attraction,Known for: Monolithic limestone rock formation in the forest,"Popular activities: Trekking, Geological study, Photography"
230,Jog Falls (Siddapur side),Uttar_Kannada,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Highest untiered waterfall in India.,"It's a well-known waterfall, popular for waterfall viewing.","Visitors flock here for waterfall viewing, photography, nature walks -- a well-loved spot in Uttar_Kannada district.",Category: Waterfall,Known for: Highest untiered waterfall in India,"Popular activities: Waterfall viewing, Photography, Nature walks"
231,Unchalli Falls,Uttar_Kannada,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Spectacular 116-meter drop known as Lushington Falls.,"It's a well-known waterfall, popular for forest trekking.","Visitors flock here for forest trekking, photography, nature appreciation -- a well-loved spot in Uttar_Kannada district.",Category: Waterfall,Known for: Spectacular 116-meter drop known as Lushington Falls,"Popular activities: Forest trekking, Photography, Nature appreciation"
232,Yana Caves,Uttar_Kannada,"Somewhere in Karnataka, this cave holds a story worth uncovering.",Unique crystalline karst limestone rock formations.,"It's a well-known cave, popular for trekking.","Visitors flock here for trekking, cave exploration, photography -- a well-loved spot in Uttar_Kannada district.",Category: Cave,Known for: Unique crystalline karst limestone rock formations,"Popular activities: Trekking, Cave exploration, Photography"
233,Vibhuti Falls,Uttar_Kannada,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Multi-tiered perennial forest waterfall.,"It's a well-known waterfall, popular for swimming.","Visitors flock here for swimming, photography, nature walks -- a well-loved spot in Uttar_Kannada district.",Category: Waterfall,Known for: Multi-tiered perennial forest waterfall,"Popular activities: Swimming, Photography, Nature walks"
234,Mirjan Fort,Uttar_Kannada,"Somewhere in Karnataka, this fort holds a story worth uncovering.",16th-century architectural marvel covered in moss.,"It's a well-known fort, popular for history tour.","Visitors flock here for history tour, fort exploration, photography -- a well-loved spot in Uttar_Kannada district.",Category: Fort,Known for: 16th-century architectural marvel covered in moss,"Popular activities: History tour, Fort exploration, Photography"
235,Karwar Beach (Rabindranath Tagore Beach),Uttar_Kannada,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Scenic beach that inspired Tagore's poetry.,"It's a well-known beach, popular for visit ins chapal warship museum.","Visitors flock here for visit ins chapal warship museum, water sports -- a well-loved spot in Uttar_Kannada district.",Category: Beach,Known for: Scenic beach that inspired Tagore's poetry,"Popular activities: Visit INS Chapal Warship Museum, Water sports"
236,Devbagh Island,Uttar_Kannada,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Pristine island resort off the coast of Karwar.,"It's a well-known attraction, popular for snorkeling.","Visitors flock here for snorkeling, banana boat rides, private beach stay -- a well-loved spot in Uttar_Kannada district.",Category: Attraction,Known for: Pristine island resort off the coast of Karwar,"Popular activities: Snorkeling, Banana boat rides, Private beach stay"
237,Anshi National Park,Uttar_Kannada,"Somewhere in Karnataka, this park holds a story worth uncovering.",Evergreen tropical rainforest and tiger reserve.,"It's a well-known park, popular for jungle trekking.","Visitors flock here for jungle trekking, wildlife spotting, bird watching -- a well-loved spot in Uttar_Kannada district.",Category: Park,Known for: Evergreen tropical rainforest and tiger reserve,"Popular activities: Jungle trekking, Wildlife spotting, Bird watching"
238,Sahasralinga,Uttar_Kannada,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Thousands of Shiva Lingas carved on rocks in the river.,"It's a well-known attraction, popular for religious visit.","Visitors flock here for religious visit, nature photography, river exploration -- a well-loved spot in Uttar_Kannada district.",Category: Attraction,Known for: Thousands of Shiva Lingas carved on rocks in the river,"Popular activities: Religious visit, Nature photography, River exploration"
239,Sirsi Marikamba Temple,Uttar_Kannada,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Famous for its massive wooden chariot.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, viewing temple murals, cultural study -- a well-loved spot in Uttar_Kannada district.",Category: Temple,Known for: Famous for its massive wooden chariot,"Popular activities: Pilgrimage, Viewing temple murals, Cultural study"
240,Magod Falls,Uttar_Kannada,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Two-step waterfall formed by the Bedti river.,"It's a well-known waterfall, popular for landscape photography.","Visitors flock here for landscape photography, picnic, nature walks -- a well-loved spot in Uttar_Kannada district.",Category: Waterfall,Known for: Two-step waterfall formed by the Bedti river,"Popular activities: Landscape photography, Picnic, Nature walks"
241,Sathodi Falls,Uttar_Kannada,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Known as the 'Mini Niagara' of Uttara Kannada.,"It's a well-known waterfall, popular for forest trekking.","Visitors flock here for forest trekking, swimming, photography -- a well-loved spot in Uttar_Kannada district.",Category: Waterfall,Known for: Known as the 'Mini Niagara' of Uttara Kannada,"Popular activities: Forest trekking, Swimming, Photography"
242,Apsarakonda Falls,Uttar_Kannada,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Coastal waterfall with a mythical 'pond of nymphs'.,"It's a well-known waterfall, popular for sea-view trekking.","Visitors flock here for sea-view trekking, sunset viewing, photography -- a well-loved spot in Uttar_Kannada district.",Category: Waterfall,Known for: Coastal waterfall with a mythical 'pond of nymphs',"Popular activities: Sea-view trekking, Sunset viewing, Photography"
243,Idagunji Ganesha Temple,Uttar_Kannada,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple with a 1500-year-old idol.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study, religious visit -- a well-loved spot in Uttar_Kannada district.",Category: Temple,Known for: Ancient temple with a 1500-year-old idol,"Popular activities: Pilgrimage, Architecture study, Religious visit"
244,Banavasi Madhukeshwara Temple,Uttar_Kannada,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Capital of the ancient Kadamba dynasty.,"It's a well-known temple, popular for history tour.","Visitors flock here for history tour, stone carving study, pilgrimage -- a well-loved spot in Uttar_Kannada district.",Category: Temple,Known for: Capital of the ancient Kadamba dynasty,"Popular activities: History tour, Stone carving study, Pilgrimage"
245,Gudavi Bird Sanctuary,Uttar_Kannada,"Somewhere in Karnataka, this lake holds a story worth uncovering.",Lake sanctuary attracting thousands of migratory birds.,"It's a well-known lake, popular for bird watching.","Visitors flock here for bird watching, nature walks, photography -- a well-loved spot in Uttar_Kannada district.",Category: Lake,Known for: Lake sanctuary attracting thousands of migratory birds,"Popular activities: Bird watching, Nature walks, Photography"
246,Shivaganga Falls,Uttar_Kannada,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",River Shalmala drops 74 meters into a deep valley.,"It's a well-known waterfall, popular for viewpoint viewing.","Visitors flock here for viewpoint viewing, nature photography, trekking -- a well-loved spot in Uttar_Kannada district.",Category: Waterfall,Known for: River Shalmala drops 74 meters into a deep valley,"Popular activities: Viewpoint viewing, Nature photography, Trekking"
247,Majali Beach,Uttar_Kannada,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Quiet beach near the Goa border.,"It's a well-known beach, popular for kayaking.","Visitors flock here for kayaking, row boating, quiet relaxation -- a well-loved spot in Uttar_Kannada district.",Category: Beach,Known for: Quiet beach near the Goa border,"Popular activities: Kayaking, Row boating, Quiet relaxation"
